geo_distance_cutters,hop_distance_cutters,initial_assimilated_fraction,bulk_step_fraction,bulk_assimilation_order_threshold,bulk_assimilation_threshold
8,0,0.05,0.05,0.25,0.3
8,0,0.05,0.05,0.3,0.35
8,0,0.05,0.05,0.35,0.4
8,0,0.05,0.05,0.2,0.3
8,0,0.05,0.05,0.25,0.35
8,0,0.05,0.05,0.3,0.4
8,0,0.05,0.05,0.1,0.3
8,0,0.05,0.05,0.15,0.35
8,0,0.05,0.05,0.2,0.4
8,0,0.05,0.1,0.25,0.3
8,0,0.05,0.1,0.3,0.35
8,0,0.05,0.1,0.35,0.4
8,0,0.05,0.1,0.2,0.3
8,0,0.05,0.1,0.25,0.35
8,0,0.05,0.1,0.3,0.4
8,0,0.05,0.1,0.1,0.3
8,0,0.05,0.1,0.15,0.35
8,0,0.05,0.1,0.2,0.4
8,0,0.05,0.15,0.25,0.3
8,0,0.05,0.15,0.3,0.35
8,0,0.05,0.15,0.35,0.4
8,0,0.05,0.15,0.2,0.3
8,0,0.05,0.15,0.25,0.35
8,0,0.05,0.15,0.3,0.4
8,0,0.05,0.15,0.1,0.3
8,0,0.05,0.15,0.15,0.35
8,0,0.05,0.15,0.2,0.4
8,0,0.05,0.05,0.15,0.3
8,0,0.05,0.05,0.2,0.35
8,0,0.05,0.05,0.25,0.4
8,0,0.05,0.1,0.15,0.3
8,0,0.05,0.1,0.2,0.35
8,0,0.05,0.1,0.25,0.4
8,0,0.05,0.15,0.15,0.3
8,0,0.05,0.15,0.2,0.35
8,0,0.05,0.15,0.25,0.4

8,0,0.075,0.05,0.25,0.4
8,0,0.1,0.05,0.25,0.4
8,0,0.125,0.05,0.25,0.4
8,0,0.15,0.05,0.25,0.4
8,0,0.01,0.05,0.25,0.4
8,0,0.025,0.05,0.25,0.4
